t,n,i,j_left,x_grid(j_left),position,velocity,E_i
0,0,0,0,-3.14159,-3.09251,-0.000490677,-2.17992e-17
0,0,1,0,-3.14159,-2.99433,-0.0014673,1.96193e-16
0,0,2,1,-2.94524,-2.89616,-0.0024298,1.96193e-16
0,0,3,1,-2.94524,-2.79798,-0.0033689,-2.17992e-17
0,0,4,2,-2.74889,-2.69981,-0.00427555,-1.85293e-16
0,0,5,2,-2.74889,-2.60163,-0.00514103,-2.94289e-16
0,0,6,3,-2.55254,-2.50346,-0.00595699,-2.39791e-16
0,0,7,3,-2.55254,-2.40528,-0.00671559,-2.17992e-17
0,0,8,4,-2.35619,-2.30711,-0.00740951,1.41695e-16
0,0,9,4,-2.35619,-2.20893,-0.00803208,2.50691e-16
0,0,10,5,-2.15984,-2.11076,-0.00857729,2.50691e-16
0,0,11,5,-2.15984,-2.01258,-0.00903989,1.41695e-16
0,0,12,6,-1.9635,-1.91441,-0.00941544,6.53975e-17
0,0,13,6,-1.9635,-1.81623,-0.00970031,2.17992e-17
0,0,14,7,-1.76715,-1.71806,-0.00989177,5.44979e-18
0,0,15,7,-1.76715,-1.61988,-0.00998795,1.63494e-17
0,0,16,8,-1.5708,-1.52171,-0.00998795,2.7249e-17
0,0,17,8,-1.5708,-1.42353,-0.00989177,3.81486e-17
0,0,18,9,-1.37445,-1.32536,-0.00970031,-5.44979e-18
0,0,19,9,-1.37445,-1.22718,-0.00941544,-1.03546e-16
0,0,20,10,-1.1781,-1.12901,-0.00903989,-1.79843e-16
0,0,21,10,-1.1781,-1.03084,-0.00857729,-2.34341e-16
0,0,22,11,-0.981748,-0.93266,-0.00803208,-1.52594e-16
0,0,23,11,-0.981748,-0.834486,-0.00740951,6.53975e-17
0,0,24,12,-0.785398,-0.736311,-0.00671559,2.28891e-16
0,0,25,12,-0.785398,-0.638136,-0.00595699,3.37887e-16
0,0,26,13,-0.589049,-0.539961,-0.00514103,2.83389e-16
0,0,27,13,-0.589049,-0.441786,-0.00427555,6.53975e-17
0,0,28,14,-0.392699,-0.343612,-0.0033689,-9.80963e-17
0,0,29,14,-0.392699,-0.245437,-0.0024298,-2.07092e-16
0,0,30,15,-0.19635,-0.147262,-0.0014673,-1.52594e-16
0,0,31,15,-0.19635,-0.0490874,-0.000490677,6.53975e-17
0,0,32,16,0,0.0490874,0.000490677,2.28891e-16
0,0,33,16,0,0.147262,0.0014673,3.37887e-16
0,0,34,17,0.19635,0.245437,0.0024298,2.83389e-16
0,0,35,17,0.19635,0.343612,0.0033689,6.53975e-17
0,0,36,18,0.392699,0.441786,0.00427555,-9.80963e-17
0,0,37,18,0.392699,0.539961,0.00514103,-2.07092e-16
0,0,38,19,0.589049,0.638136,0.00595699,-9.80963e-17
0,0,39,19,0.589049,0.736311,0.00671559,2.28891e-16
0,0,40,20,0.785398,0.834486,0.00740951,3.37887e-16
0,0,41,20,0.785398,0.93266,0.00803208,2.28891e-16
0,0,42,21,0.981748,1.03084,0.00857729,-4.35984e-17
0,0,43,21,0.981748,1.12901,0.00903989,-4.79582e-16
0,0,44,22,1.1781,1.22718,0.00941544,-6.97574e-16
0,0,45,22,1.1781,1.32536,0.00970031,-6.97574e-16
0,0,46,23,1.37445,1.42353,0.00989177,-4.79582e-16
0,0,47,23,1.37445,1.52171,0.00998795,-4.35984e-17
0,0,48,24,1.5708,1.61988,0.00998795,3.92385e-16
0,0,49,24,1.5708,1.71806,0.00989177,8.28369e-16
0,0,50,25,1.76715,1.81623,0.00970031,9.37365e-16
0,0,51,25,1.76715,1.91441,0.00941544,7.19373e-16
0,0,52,26,1.9635,2.01258,0.00903989,3.92385e-16
0,0,53,26,1.9635,2.11076,0.00857729,-4.35984e-17
0,0,54,27,2.15984,2.20893,0.00803208,-1.52594e-16
0,0,55,27,2.15984,2.30711,0.00740951,6.53975e-17
0,0,56,28,2.35619,2.40528,0.00671559,1.74393e-16
0,0,57,28,2.35619,2.50346,0.00595699,1.74393e-16
0,0,58,29,2.55254,2.60163,0.00514103,-4.35984e-17
0,0,59,29,2.55254,2.69981,0.00427555,-4.79582e-16
0,0,60,30,2.74889,2.79798,0.0033689,-7.08473e-16
0,0,61,30,2.74889,2.89616,0.0024298,-7.30272e-16
0,0,62,31,2.94524,2.99433,0.0014673,-5.88578e-16
0,0,63,31,2.94524,3.09251,0.000490677,-2.83389e-16
0.19687,1,0,0,-3.14159,-3.0926,-0.000490677,0.000190507
0.19687,1,1,0,-3.14159,-2.99462,-0.0014673,0.000571524
0.19687,1,2,1,-2.94524,-2.89663,-0.0024298,0.000945288
0.19687,1,3,1,-2.94524,-2.79864,-0.0033689,0.00131169
0.19687,1,4,2,-2.74889,-2.70065,-0.00427555,0.00166397
0.19687,1,5,2,-2.74889,-2.60264,-0.00514103,0.0020017
0.19687,1,6,3,-2.55254,-2.50463,-0.00595699,0.00231907
0.19687,1,7,3,-2.55254,-2.4066,-0.00671559,0.00261516
0.19687,1,8,4,-2.35619,-2.30857,-0.00740951,0.00288548
0.19687,1,9,4,-2.35619,-2.21051,-0.00803208,0.00312854
0.19687,1,10,5,-2.15984,-2.11245,-0.00857729,0.00334145
0.19687,1,11,5,-2.15984,-2.01436,-0.00903989,0.00352211
0.19687,1,12,6,-1.9635,-1.91626,-0.00941544,0.00366938
0.19687,1,13,6,-1.9635,-1.81814,-0.00970031,0.00378068
0.19687,1,14,7,-1.76715,-1.72001,-0.00989177,0.00385658
0.19687,1,15,7,-1.76715,-1.62185,-0.00998795,0.00389417
0.19687,1,16,8,-1.5708,-1.52368,-0.00998795,0.00389568
0.19687,1,17,8,-1.5708,-1.42548,-0.00989177,0.00385807
0.19687,1,18,9,-1.37445,-1.32727,-0.00970031,0.00378501
0.19687,1,19,9,-1.37445,-1.22904,-0.00941544,0.00367359
0.19687,1,20,10,-1.1781,-1.13079,-0.00903989,0.00352867
0.19687,1,21,10,-1.1781,-1.03252,-0.00857729,0.00334767
0.19687,1,22,11,-0.981748,-0.934242,-0.00803208,0.00313638
0.19687,1,23,11,-0.981748,-0.835944,-0.00740951,0.00289272
0.19687,1,24,12,-0.785398,-0.737633,-0.00671559,0.00262315
0.19687,1,25,12,-0.785398,-0.639309,-0.00595699,0.00232616
0.19687,1,26,13,-0.589049,-0.540973,-0.00514103,0.00200868
0.19687,1,27,13,-0.589049,-0.442628,-0.00427555,0.00166978
0.19687,1,28,14,-0.392699,-0.344275,-0.0033689,0.00131665
0.19687,1,29,14,-0.392699,-0.245915,-0.0024298,0.000948865
0.19687,1,30,15,-0.19635,-0.147551,-0.0014673,0.00057377
0.19687,1,31,15,-0.19635,-0.049184,-0.000490677,0.000191258
0.19687,1,32,16,0,0.049184,0.000490677,-0.000191258
0.19687,1,33,16,0,0.147551,0.0014673,-0.00057377
0.19687,1,34,17,0.19635,0.245915,0.0024298,-0.000948865
0.19687,1,35,17,0.19635,0.344275,0.0033689,-0.00131665
0.19687,1,36,18,0.392699,0.442628,0.00427555,-0.00166978
0.19687,1,37,18,0.392699,0.540973,0.00514103,-0.00200868
